text,created_at
"Ternyata sudah dilaksanakan oleh Abah @aniesbaswedan, Program MAKAN SIANG GRATIS Ketika beliau msh menjabat Gubernur DKI Jakarta, Meski tidak dipublikasikan oleh beliau sendiri, sehat selalu Abah Emang Kereeenn ",Sun Jan 12 11:43:48 +0000 2025
"MAKAN GRATIS, MATI GRATIS
_______
Foto seorang siswi memegang poster di aksi hari ini, 3 Februari 2025 oleh Aliansi Pelajar se-Yahukimo di Dekai, Yahukimo, #papua ",Mon Feb 03 13:43:25 +0000 2025
"Kalo sampe gaji 13 dan 14 kena imbas buat makan gratis, gue gak ikhlas lahir batin 😭

Yang katanya mau buat ngasih makan anak2 sekolah biar tercipta indonesia emas 2045, gue tetep gak ikhlas. 

Itu hak pegawai, kita dituntut tetep kerja tapi hak kita dihilangin 😭",Wed Feb 05 15:17:39 +0000 2025
"Sewa buzzer dia oke gas
Sewa animator dia malas
---
Perbandingan antara animasi bikinan AI (Anak Indonesia) el gemoy @prabowo yg terlucu-lucu pakai musik propaganda 50an bagi2 makan siang gratis yg gak gratis2 amat
Dan animasi anak abah polisi labrador yg jujur ngeroast el gemoy. ",Thu Feb 06 09:50:18 +0000 2025
"Banyak yang ragu, tapi pemerintah sudah punya strategi konkret! Dari investasi asing, hilirisasi, dukungan UMKM, hingga makan bergizi gratis—semua untuk mendorong pertumbuhan ekonomi d8% 💪🔥

#EkonomiMaju #IndonesiaEmas2045 #ekonomi8% #ekonomiindonesia #astacita #investasi ",Fri Feb 07 06:55:46 +0000 2025
"💚 bukannya lebih bahaya ya kalau nanti terjadi gempa atau tsunami gak terdeteksi gimana?

Prabowo yang potong anggaran BMKG. kalian pasti tahu anggaran dipotong buat apa? yap benar buat progam makan bergizi gratis. 😊 ",Sat Feb 08 04:55:12 +0000 2025
"Presiden Prabowo Subianto menegaskan komitmennya untuk terus menyempurnakan Program Makan Bergizi Gratis (MBG) demi meningkatkan gizi anak-anak Indonesia. 

#Barisan08 #Prabowo #KabinetMerahPutih ",Tue Feb 04 08:34:38 +0000 2025
"Presiden Prabowo Subianto mengunjungi SDN Kedung Jaya 1 Bogor, Jawa Barat, untuk meninjau pelaksanaan program makan bergizi gratis (MBG) pada Senin (10/2/2025). 

Presiden melihat langsung makanan yang disiapkan dan memastikan setiap anak mendapatkan asupan terbaik untuk ",Mon Feb 10 08:07:41 +0000 2025
"Gw udah duga program makan gratis bakal ditolak mentah2 di Papua.

Bro, gw aja selalu diwanti2 oleh orang Papua supaya jangan pernah terima makan minum dari aparat/orang pemerintah, takut diracun. Aktivis Papua disiplin banget soal ini.",Mon Feb 03 12:07:57 +0000 2025
Makan Bergizi Gratis tanpa membebani anggaran ,Sat Jan 18 17:33:48 +0000 2025
"@prabowo Percuma makan siang gratis di sekolah, kalau ujungnya anggota keluarga anak tersebut kerja atau kehidupannya jadi susah karena program yg bikin bengkak anggaran. ",Mon Feb 10 11:34:20 +0000 2025
"Keterlibatan UMKM mitra Makan Bergizi Gratis merupakan langkah strategis untuk meningkatkan kualitas gizi masyarakat dan mendukung pertumbuhan ekonomi. Selain itu, UMKM bisa mendapatkan modal sampai dengan Rp 500 juta. #MakanBergiziGratis #UMKM #ElonMusk #economicgrowth #GRAMMYs ",Fri Feb 07 02:59:38 +0000 2025
